index,iou0,iou1,miou
0,0.913426,0.232005,0.572715
1,0.884016,0.162498,0.523257
2,0.874553,0.155641,0.515097
3,0.897362,0.147836,0.522599
4,0.885840,0.132751,0.509296
5,0.942502,0.437633,0.690067
6,0.886404,0.033192,0.459798
7,0.908465,0.034137,0.471301
8,0.894803,0.040548,0.467675
9,0.931162,0.094054,0.512608
10,0.895453,0.043773,0.469613
11,0.931149,0.322257,0.626703
12,0.928041,0.416875,0.672458
13,0.884251,0.133840,0.509045
14,0.878721,0.113033,0.495877
15,0.940251,0.473747,0.706999
16,0.900350,0.041901,0.471126
17,0.893156,0.053058,0.473107
18,0.914384,0.357022,0.635703
19,0.889136,0.014204,0.451670
20,0.945467,0.287411,0.616439
21,0.932577,0.242963,0.587770
22,0.845194,0.096090,0.470642
23,0.941217,0.341957,0.641587
24,0.895961,0.118732,0.507346
25,0.899529,0.082198,0.490863
26,0.910450,0.054427,0.482439
27,0.936241,0.316824,0.626533
28,0.901188,0.102916,0.502052
29,0.887814,0.103937,0.495876
30,0.905408,0.217872,0.561640
31,0.937161,0.430296,0.683729
32,0.930578,0.405527,0.668052
33,0.922548,0.063706,0.493127
34,0.913755,0.287842,0.600798
35,0.908635,0.097568,0.503102
36,0.939312,0.308204,0.623758
37,0.879995,0.107113,0.493554
38,0.888526,0.090946,0.489736
39,0.927703,0.282684,0.605193
40,0.872498,0.064849,0.468673
41,0.929651,0.322869,0.626260
42,0.936000,0.282375,0.609188
43,0.946737,0.544319,0.745528
44,0.944072,0.522420,0.733246
45,0.930842,0.439609,0.685225
46,0.891367,0.130259,0.510813
47,0.949864,0.509327,0.729596
48,0.944985,0.431838,0.688411
49,0.900136,0.026763,0.463450
50,0.941044,0.289260,0.615152
51,0.909950,0.098997,0.504474
52,0.935280,0.423840,0.679560
53,0.921119,0.153947,0.537533
54,0.912980,0.096755,0.504868
55,0.926483,0.163721,0.545102
56,0.921878,0.310458,0.616168
57,0.909089,0.096230,0.502660
58,0.910920,0.121597,0.516259
59,0.887173,0.153199,0.520186
60,0.894839,0.093892,0.494365
mean,0.912124,0.209111,0.560617
